"Date","Confirmed","Recovered","Deceased"
"14-Mar-20","0","0","0"
"15-Mar-20","0","0","0"
"16-Mar-20","0","0","0"
"17-Mar-20","0","0","0"
"18-Mar-20","0","0","0"
"19-Mar-20","0","0","0"
"20-Mar-20","0","0","0"
"21-Mar-20","0","0","0"
"22-Mar-20","0","0","0"
"23-Mar-20","0","0","0"
"24-Mar-20","0","0","0"
"25-Mar-20","0","0","0"
"26-Mar-20","1","0","0"
"27-Mar-20","5","0","0"
"28-Mar-20","3","0","0"
"29-Mar-20","0","0","0"
"30-Mar-20","1","0","0"
"31-Mar-20","0","0","0"
"1-Apr-20","0","0","0"
"2-Apr-20","0","0","0"
"3-Apr-20","0","0","0"
"4-Apr-20","0","0","0"
"5-Apr-20","0","0","0"
"6-Apr-20","0","0","0"
"7-Apr-20","0","0","0"
"8-Apr-20","1","0","0"
"9-Apr-20","0","10","0"
"10-Apr-20","0","0","0"
"11-Apr-20","0","0","0"
"12-Apr-20","0","0","0"
"13-Apr-20","0","0","0"
"14-Apr-20","0","0","0"
"15-Apr-20","0","0","0"
"16-Apr-20","0","1","0"
"17-Apr-20","1","0","0"
"18-Apr-20","2","0","0"
"19-Apr-20","1","0","0"
"20-Apr-20","1","0","0"
"21-Apr-20","1","0","0"
"22-Apr-20","1","0","0"
"23-Apr-20","4","0","0"
"24-Apr-20","7","0","0"
"25-Apr-20","4","0","0"
"26-Apr-20","0","0","0"
"27-Apr-20","0","0","0"
"28-Apr-20","0","4","0"
"29-Apr-20","0","0","0"
"30-Apr-20","0","1","0"
"1-May-20","0","0","0"
"2-May-20","0","10","0"
"3-May-20","0","6","0"
"4-May-20","0","0","0"
"5-May-20","0","0","0"
"6-May-20","0","0","0"
"7-May-20","0","1","0"
"8-May-20","0","0","0"
"9-May-20","0","0","0"
"10-May-20","0","0","0"
"11-May-20","0","0","0"
"12-May-20","0","0","0"
"13-May-20","0","0","0"
"14-May-20","0","0","0"
"15-May-20","0","0","0"
"16-May-20","0","0","0"
"17-May-20","0","0","0"
"18-May-20","0","0","0"
"19-May-20","0","0","0"
"20-May-20","0","0","0"
"21-May-20","0","0","0"
"22-May-20","0","0","0"
"23-May-20","0","0","0"
"24-May-20","0","0","0"
"25-May-20","0","0","0"
"26-May-20","0","0","0"
"27-May-20","0","0","0"
"28-May-20","0","0","0"
"29-May-20","0","0","0"
"30-May-20","0","0","0"
"31-May-20","0","0","0"
"1-Jun-20","0","0","0"
"2-Jun-20","0","0","0"
"3-Jun-20","0","0","0"
"4-Jun-20","0","0","0"
"5-Jun-20","0","0","0"
"6-Jun-20","0","0","0"
"7-Jun-20","0","0","0"
"8-Jun-20","0","0","0"
"9-Jun-20","1","0","0"
"10-Jun-20","1","0","0"
"11-Jun-20","3","0","0"
"12-Jun-20","0","0","0"
"13-Jun-20","0","0","0"
"14-Jun-20","2","0","0"
"15-Jun-20","1","0","0"
"16-Jun-20","3","0","0"
"17-Jun-20","0","0","0"
"18-Jun-20","1","2","0"
"19-Jun-20","2","0","0"
"20-Jun-20","0","0","0"
"21-Jun-20","1","2","0"
"22-Jun-20","0","0","0"
"23-Jun-20","2","3","0"
"24-Jun-20","6","1","0"
"25-Jun-20","2","0","0"
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
