Date,Confirmed,Recovered,Decreased
14-Mar-20,0,0,0
15-Mar-20,0,0,0
16-Mar-20,1,0,0
17-Mar-20,0,0,0
18-Mar-20,1,0,0
19-Mar-20,0,0,0
20-Mar-20,0,0,0
21-Mar-20,0,0,0
22-Mar-20,0,0,0
23-Mar-20,0,0,0
24-Mar-20,0,0,0
25-Mar-20,0,0,0
26-Mar-20,1,0,0
27-Mar-20,0,0,0
28-Mar-20,0,0,0
29-Mar-20,0,0,0
30-Mar-20,0,0,0
31-Mar-20,1,0,0
01-Apr-20,1,1,0
02-Apr-20,0,0,0
03-Apr-20,15,1,0
04-Apr-20,1,0,0
05-Apr-20,18,0,0
06-Apr-20,1,0,0
07-Apr-20,2,0,1
08-Apr-20,0,0,0
09-Apr-20,6,0,0
10-Apr-20,2,10,0
11-Apr-20,4,0,0
12-Apr-20,0,0,0
13-Apr-20,1,6,0
14-Apr-20,5,0,0
15-Apr-20,0,1,0
16-Apr-20,0,0,0
17-Apr-20,0,2,0
18-Apr-20,1,3,0
19-Apr-20,13,0,0
20-Apr-20,0,0,0
21-Apr-20,5,6,0
22-Apr-20,4,2,0
23-Apr-20,6,1,0
24-Apr-20,5,0,0
25-Apr-20,6,1,0
26-Apr-20,3,1,0
27-Apr-20,15,2,0
28-Apr-20,0,1,0
29-Apr-20,7,1,0
30-Apr-20,18,2,0
01-May-20,11,14,0
02-May-20,6,1,0
03-May-20,2,4,0
04-May-20,7,0,0
05-May-20,8,0,1
06-May-20,28,1,0
07-May-20,14,1,0
08-May-20,51,1,0
09-May-20,82,5,1
10-May-20,25,0,0
11-May-20,38,17,0
12-May-20,22,31,0
13-May-20,101,27,0
14-May-20,134,15,0
15-May-20,65,8,0
16-May-20,0,30,0
17-May-20,91,24,1
18-May-20,48,57,0
19-May-20,102,30,1
20-May-20,74,36,1
21-May-20,51,50,1
22-May-20,86,43,0
23-May-20,80,61,0
24-May-20,67,53,0
25-May-20,102,99,0
26-May-20,79,84,0
27-May-20,76,79,0
28-May-20,67,75,0
29-May-20,63,90,0
30-May-20,96,73,2
31-May-20,129,76,0
01-Jun-20,156,119,0
02-Jun-20,141,80,0
03-Jun-20,143,91,0
04-Jun-20,90,65,0
05-Jun-20,130,123,1
06-Jun-20,173,112,0
07-Jun-20,75,178,1
08-Jun-20,138,99,0
09-Jun-20,146,140,0
10-Jun-20,110,149,0
11-Jun-20,136,72,1
12-Jun-20,112,120,1
13-Jun-20,225,120,0
14-Jun-20,186,114,1
15-Jun-20,146,146,0
16-Jun-20,108,120,0
17-Jun-20,175,73,0
18-Jun-20,174,97,0
19-Jun-20,165,153,0
20-Jun-20,179,237,1
21-Jun-20,304,186,4
22-Jun-20,143,143,2
23-Jun-20,167,125,3
24-Jun-20,282,135,0
25-Jun-20,210,168,0
